                                           Experiment  Subset   Metric  File     Value                                  Model        CNN          RNN  LENGTH
38        Evaluation-ResNet152_BiLSTM-finetuned-clip2     180  ROC-AUC     4  0.934781       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM     180
39        Evaluation-ResNet152_BiLSTM-finetuned-clip2     180  ROC-AUC     5  0.966118       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM     180
40           Evaluation-ResNet152_GRU-finetuned-clip2       3  ROC-AUC     1  0.924621          ResNet152-GRU-finetuned-clip2  ResNet152          GRU       3
41           Evaluation-ResNet152_GRU-finetuned-clip2       3  ROC-AUC     2  0.926214          ResNet152-GRU-finetuned-clip2  ResNet152          GRU       3
42           Evaluation-ResNet152_GRU-finetuned-clip2       3  ROC-AUC     3  0.929786          ResNet152-GRU-finetuned-clip2  ResNet152          GRU       3
43           Evaluation-ResNet152_GRU-finetuned-clip2       3  ROC-AUC     4  0.899820          ResNet152-GRU-finetuned-clip2  ResNet152          GRU       3
44           Evaluation-ResNet152_GRU-finetuned-clip2       3  ROC-AUC     5  0.923278          ResNet152-GRU-finetuned-clip2  ResNet152          GRU       3
45           Evaluation-ResNet152_GRU-finetuned-clip2      15  ROC-AUC     1  0.937193          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      15
46           Evaluation-ResNet152_GRU-finetuned-clip2      15  ROC-AUC     2  0.939675          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      15
47           Evaluation-ResNet152_GRU-finetuned-clip2      15  ROC-AUC     3  0.938366          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      15
48           Evaluation-ResNet152_GRU-finetuned-clip2      15  ROC-AUC     4  0.902441          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      15
49           Evaluation-ResNet152_GRU-finetuned-clip2      15  ROC-AUC     5  0.933070          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      15
50           Evaluation-ResNet152_GRU-finetuned-clip2      60  ROC-AUC     1  0.952289          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      60
51           Evaluation-ResNet152_GRU-finetuned-clip2      60  ROC-AUC     2  0.951597          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      60
52           Evaluation-ResNet152_GRU-finetuned-clip2      60  ROC-AUC     3  0.950826          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      60
53           Evaluation-ResNet152_GRU-finetuned-clip2      60  ROC-AUC     4  0.923019          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      60
54           Evaluation-ResNet152_GRU-finetuned-clip2      60  ROC-AUC     5  0.952013          ResNet152-GRU-finetuned-clip2  ResNet152          GRU      60
55           Evaluation-ResNet152_GRU-finetuned-clip2     180  ROC-AUC     1  0.960600          ResNet152-GRU-finetuned-clip2  ResNet152          GRU     180
56           Evaluation-ResNet152_GRU-finetuned-clip2     180  ROC-AUC     2  0.961635          ResNet152-GRU-finetuned-clip2  ResNet152          GRU     180
