                                            Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
38          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-CP     4  0.278537        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
39          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-CP     5  0.371590        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
40          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LI     1  0.573194        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
41          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LI     2  0.640290        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
42          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LI     3  0.531331        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
43          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LI     4  0.666994        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
44          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LI     5  0.575295        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
45          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LP     1  0.307329        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
46          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LP     2  0.320282        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
47          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LP     3  0.361040        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
48          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LP     4  0.333523        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
49          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-LP     5  0.451220        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
50          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-ACF     1  0.397618        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
51          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-ACF     2  0.390734        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
52          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-ACF     3  0.454360        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
53          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-ACF     4  0.318556        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
