                                           Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
38         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-2nd     4  0.181335        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
39         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-2nd     5  0.182539        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
40         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-3rd     1  0.064956        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
41         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-3rd     2  0.069033        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
42         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-3rd     3  0.078993        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
43         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-3rd     4  0.078707        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
44         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-3rd     5  0.081787        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
45         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-4th     1  0.033722        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
46         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-4th     2  0.033275        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
47         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-4th     3  0.036328        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
48         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-4th     4  0.040401        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
49         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-4th     5  0.034626        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
50         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-5th     1  0.017395        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
51         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-5th     2  0.018031        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
52         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-5th     3  0.021037        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
53         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-5th     4  0.025295        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
54         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  Accuracy-5th     5  0.019365        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
55         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      Accuracy     1  0.686517        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
56         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      Accuracy     2  0.712995        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
57         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      Accuracy     3  0.685526        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
58         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      Accuracy     4  0.634010        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
59         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      Accuracy     5  0.643295        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
60         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-1st     1  0.745009        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
61         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-1st     2  0.778556        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
62         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-1st     3  0.733427        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
63         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-1st     4  0.695544        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
64         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-1st     5  0.721182        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
65         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-2nd     1  0.156030        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
66         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-2nd     2  0.120843        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
67         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-2nd     3  0.139000        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
68         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-2nd     4  0.168040        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
69         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-2nd     5  0.157315        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
