                                    Experiment        Metric  File     Value                            Model        CNN          RNN
46         Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     2  0.727381         ResNet152-LSTM-finetuned  ResNet152         LSTM
47         Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     3  0.723810         ResNet152-LSTM-finetuned  ResNet152         LSTM
48         Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     4  0.679762         ResNet152-LSTM-finetuned  ResNet152         LSTM
49         Evaluation-ResNet152_LSTM-finetuned  Accuracy-1st     5  0.745238         ResNet152-LSTM-finetuned  ResNet152         LSTM
50         Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     1  0.169048         ResNet152-LSTM-finetuned  ResNet152         LSTM
51         Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     2  0.221429         ResNet152-LSTM-finetuned  ResNet152         LSTM
52         Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     3  0.214286         ResNet152-LSTM-finetuned  ResNet152         LSTM
53         Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     4  0.219048         ResNet152-LSTM-finetuned  ResNet152         LSTM
54         Evaluation-ResNet152_LSTM-finetuned  Accuracy-2nd     5  0.155952         ResNet152-LSTM-finetuned  ResNet152         LSTM
55         Evaluation-ResNet152_LSTM-finetuned      Accuracy     1  0.745238         ResNet152-LSTM-finetuned  ResNet152         LSTM
56         Evaluation-ResNet152_LSTM-finetuned      Accuracy     2  0.727381         ResNet152-LSTM-finetuned  ResNet152         LSTM
57         Evaluation-ResNet152_LSTM-finetuned      Accuracy     3  0.723810         ResNet152-LSTM-finetuned  ResNet152         LSTM
58         Evaluation-ResNet152_LSTM-finetuned      Accuracy     4  0.679762         ResNet152-LSTM-finetuned  ResNet152         LSTM
59         Evaluation-ResNet152_LSTM-finetuned      Accuracy     5  0.745238         ResNet152-LSTM-finetuned  ResNet152         LSTM
60        Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     1  0.610714        ResNet152-Mamba-finetuned  ResNet152        Mamba
61        Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     2  0.676190        ResNet152-Mamba-finetuned  ResNet152        Mamba
62        Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     3  0.597619        ResNet152-Mamba-finetuned  ResNet152        Mamba
63        Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     4  0.692857        ResNet152-Mamba-finetuned  ResNet152        Mamba
64        Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     5  0.664286        ResNet152-Mamba-finetuned  ResNet152        Mamba
65        Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     1  0.261905        ResNet152-Mamba-finetuned  ResNet152        Mamba
66        Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     2  0.179762        ResNet152-Mamba-finetuned  ResNet152        Mamba
67        Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     3  0.255952        ResNet152-Mamba-finetuned  ResNet152        Mamba
68        Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     4  0.240476        ResNet152-Mamba-finetuned  ResNet152        Mamba
69        Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     5  0.214286        ResNet152-Mamba-finetuned  ResNet152        Mamba
70        Evaluation-ResNet152_Mamba-finetuned      Accuracy     1  0.610714        ResNet152-Mamba-finetuned  ResNet152        Mamba
71        Evaluation-ResNet152_Mamba-finetuned      Accuracy     2  0.676190        ResNet152-Mamba-finetuned  ResNet152        Mamba
72        Evaluation-ResNet152_Mamba-finetuned      Accuracy     3  0.597619        ResNet152-Mamba-finetuned  ResNet152        Mamba
73        Evaluation-ResNet152_Mamba-finetuned      Accuracy     4  0.692857        ResNet152-Mamba-finetuned  ResNet152        Mamba
74        Evaluation-ResNet152_Mamba-finetuned      Accuracy     5  0.664286        ResNet152-Mamba-finetuned  ResNet152        Mamba
75  Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     1  0.626190  ResNet152-Transformer-finetuned  ResNet152  Transformer
76  Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     2  0.734524  ResNet152-Transformer-finetuned  ResNet152  Transformer
77  Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     3  0.685714  ResNet152-Transformer-finetuned  ResNet152  Transformer
78  Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     4  0.728571  ResNet152-Transformer-finetuned  ResNet152  Transformer
79  Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     5  0.695238  ResNet152-Transformer-finetuned  ResNet152  Transformer
80  Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     1  0.245238  ResNet152-Transformer-finetuned  ResNet152  Transformer
81  Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     2  0.210714  ResNet152-Transformer-finetuned  ResNet152  Transformer
82  Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     3  0.227381  ResNet152-Transformer-finetuned  ResNet152  Transformer
83  Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     4  0.215476  ResNet152-Transformer-finetuned  ResNet152  Transformer
84  Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     5  0.227381  ResNet152-Transformer-finetuned  ResNet152  Transformer
85  Evaluation-ResNet152_Transformer-finetuned      Accuracy     1  0.626190  ResNet152-Transformer-finetuned  ResNet152  Transformer
86  Evaluation-ResNet152_Transformer-finetuned      Accuracy     2  0.734524  ResNet152-Transformer-finetuned  ResNet152  Transformer
87  Evaluation-ResNet152_Transformer-finetuned      Accuracy     3  0.685714  ResNet152-Transformer-finetuned  ResNet152  Transformer
88  Evaluation-ResNet152_Transformer-finetuned      Accuracy     4  0.728571  ResNet152-Transformer-finetuned  ResNet152  Transformer
89  Evaluation-ResNet152_Transformer-finetuned      Accuracy     5  0.695238  ResNet152-Transformer-finetuned  ResNet152  Transformer

Metric
Accuracy        0.686508
Accuracy-1st    0.686508
Accuracy-2nd    0.220556
