                                     Experiment       Metric  File     Value                            Model        CNN          RNN
45           Evaluation-ResNet152_GRU-finetuned  F1-Score-PC     1  0.705882          ResNet152-GRU-finetuned  ResNet152          GRU
46           Evaluation-ResNet152_GRU-finetuned  F1-Score-PC     2  0.721495          ResNet152-GRU-finetuned  ResNet152          GRU
47           Evaluation-ResNet152_GRU-finetuned  F1-Score-PC     3  0.648148          ResNet152-GRU-finetuned  ResNet152          GRU
48           Evaluation-ResNet152_GRU-finetuned  F1-Score-PC     4  0.745914          ResNet152-GRU-finetuned  ResNet152          GRU
49           Evaluation-ResNet152_GRU-finetuned  F1-Score-PC     5  0.531646          ResNet152-GRU-finetuned  ResNet152          GRU
50           Evaluation-ResNet152_GRU-finetuned  F1-Score-LR     1  0.000000          ResNet152-GRU-finetuned  ResNet152          GRU
51           Evaluation-ResNet152_GRU-finetuned  F1-Score-LR     2  0.000000          ResNet152-GRU-finetuned  ResNet152          GRU
52           Evaluation-ResNet152_GRU-finetuned  F1-Score-LR     3  0.000000          ResNet152-GRU-finetuned  ResNet152          GRU
53           Evaluation-ResNet152_GRU-finetuned  F1-Score-LR     4  0.171123          ResNet152-GRU-finetuned  ResNet152          GRU
54           Evaluation-ResNet152_GRU-finetuned  F1-Score-LR     5  0.149533          ResNet152-GRU-finetuned  ResNet152          GRU
55           Evaluation-ResNet152_GRU-finetuned     F1-Score     1  0.490076          ResNet152-GRU-finetuned  ResNet152          GRU
56           Evaluation-ResNet152_GRU-finetuned     F1-Score     2  0.511908          ResNet152-GRU-finetuned  ResNet152          GRU
57           Evaluation-ResNet152_GRU-finetuned     F1-Score     3  0.477749          ResNet152-GRU-finetuned  ResNet152          GRU
58           Evaluation-ResNet152_GRU-finetuned     F1-Score     4  0.545516          ResNet152-GRU-finetuned  ResNet152          GRU
59           Evaluation-ResNet152_GRU-finetuned     F1-Score     5  0.475715          ResNet152-GRU-finetuned  ResNet152          GRU
60          Evaluation-ResNet152_LSTM-finetuned   F1-Score-N     1  0.823111         ResNet152-LSTM-finetuned  ResNet152         LSTM
61          Evaluation-ResNet152_LSTM-finetuned   F1-Score-N     2  0.796578         ResNet152-LSTM-finetuned  ResNet152         LSTM
62          Evaluation-ResNet152_LSTM-finetuned   F1-Score-N     3  0.805093         ResNet152-LSTM-finetuned  ResNet152         LSTM
63          Evaluation-ResNet152_LSTM-finetuned   F1-Score-N     4  0.748954         ResNet152-LSTM-finetuned  ResNet152         LSTM
64          Evaluation-ResNet152_LSTM-finetuned   F1-Score-N     5  0.825462         ResNet152-LSTM-finetuned  ResNet152         LSTM
65          Evaluation-ResNet152_LSTM-finetuned  F1-Score-PC     1  0.644764         ResNet152-LSTM-finetuned  ResNet152         LSTM
66          Evaluation-ResNet152_LSTM-finetuned  F1-Score-PC     2  0.741313         ResNet152-LSTM-finetuned  ResNet152         LSTM
67          Evaluation-ResNet152_LSTM-finetuned  F1-Score-PC     3  0.696113         ResNet152-LSTM-finetuned  ResNet152         LSTM
