                                 Experiment        Metric  File     Value                       Model             CNN          RNN
49             Evaluation-DenseNet121_BiGRU   F1-Score-LP     5  0.770642           DenseNet121-BiGRU     DenseNet121        BiGRU
50             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     1  0.640000           DenseNet121-BiGRU     DenseNet121        BiGRU
51             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     2  0.557692           DenseNet121-BiGRU     DenseNet121        BiGRU
52             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     3  0.629630           DenseNet121-BiGRU     DenseNet121        BiGRU
53             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     4  0.772277           DenseNet121-BiGRU     DenseNet121        BiGRU
54             Evaluation-DenseNet121_BiGRU  F1-Score-ACF     5  0.666667           DenseNet121-BiGRU     DenseNet121        BiGRU
55             Evaluation-DenseNet121_BiGRU   F1-Score-VS     1  0.846154           DenseNet121-BiGRU     DenseNet121        BiGRU
56             Evaluation-DenseNet121_BiGRU   F1-Score-VS     2  0.772277           DenseNet121-BiGRU     DenseNet121        BiGRU
57             Evaluation-DenseNet121_BiGRU   F1-Score-VS     3  0.857143           DenseNet121-BiGRU     DenseNet121        BiGRU
58             Evaluation-DenseNet121_BiGRU   F1-Score-VS     4  0.800000           DenseNet121-BiGRU     DenseNet121        BiGRU
59             Evaluation-DenseNet121_BiGRU   F1-Score-VS     5  0.833333           DenseNet121-BiGRU     DenseNet121        BiGRU
60             Evaluation-DenseNet121_BiGRU   F1-Score-TA     1  0.725664           DenseNet121-BiGRU     DenseNet121        BiGRU
61             Evaluation-DenseNet121_BiGRU   F1-Score-TA     2  0.745763           DenseNet121-BiGRU     DenseNet121        BiGRU
62             Evaluation-DenseNet121_BiGRU   F1-Score-TA     3  0.709677           DenseNet121-BiGRU     DenseNet121        BiGRU
63             Evaluation-DenseNet121_BiGRU   F1-Score-TA     4  0.786325           DenseNet121-BiGRU     DenseNet121        BiGRU
64             Evaluation-DenseNet121_BiGRU   F1-Score-TA     5  0.814159           DenseNet121-BiGRU     DenseNet121        BiGRU
65             Evaluation-DenseNet121_BiGRU      F1-Score     1  0.785781           DenseNet121-BiGRU     DenseNet121        BiGRU
66             Evaluation-DenseNet121_BiGRU      F1-Score     2  0.727553           DenseNet121-BiGRU     DenseNet121        BiGRU
67             Evaluation-DenseNet121_BiGRU      F1-Score     3  0.767629           DenseNet121-BiGRU     DenseNet121        BiGRU
68             Evaluation-DenseNet121_BiGRU      F1-Score     4  0.778534           DenseNet121-BiGRU     DenseNet121        BiGRU
69             Evaluation-DenseNet121_BiGRU      F1-Score     5  0.730027           DenseNet121-BiGRU     DenseNet121        BiGRU
70            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     1  0.724138          DenseNet121-BiLSTM     DenseNet121       BiLSTM
71            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     2  0.712871          DenseNet121-BiLSTM     DenseNet121       BiLSTM
72            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     3  0.607843          DenseNet121-BiLSTM     DenseNet121       BiLSTM
73            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     4  0.593407          DenseNet121-BiLSTM     DenseNet121       BiLSTM
74            Evaluation-DenseNet121_BiLSTM  F1-Score-Idl     5  0.672897          DenseNet121-BiLSTM     DenseNet121       BiLSTM
75            Evaluation-DenseNet121_BiLSTM  F1-Score-Inc     1  0.872727          DenseNet121-BiLSTM     DenseNet121       BiLSTM
76            Evaluation-DenseNet121_BiLSTM  F1-Score-Inc     2  0.786325          DenseNet121-BiLSTM     DenseNet121       BiLSTM
77            Evaluation-DenseNet121_BiLSTM  F1-Score-Inc     3  0.771930          DenseNet121-BiLSTM     DenseNet121       BiLSTM
78            Evaluation-DenseNet121_BiLSTM  F1-Score-Inc     4  0.759690          DenseNet121-BiLSTM     DenseNet121       BiLSTM
79            Evaluation-DenseNet121_BiLSTM  F1-Score-Inc     5  0.784615          DenseNet121-BiLSTM     DenseNet121       BiLSTM
80            Evaluation-DenseNet121_BiLSTM  F1-Score-Vis     1  0.818182          DenseNet121-BiLSTM     DenseNet121       BiLSTM
81            Evaluation-DenseNet121_BiLSTM  F1-Score-Vis     2  0.694915          DenseNet121-BiLSTM     DenseNet121       BiLSTM
82            Evaluation-DenseNet121_BiLSTM  F1-Score-Vis     3  0.673684          DenseNet121-BiLSTM     DenseNet121       BiLSTM
83            Evaluation-DenseNet121_BiLSTM  F1-Score-Vis     4  0.604167          DenseNet121-BiLSTM     DenseNet121       BiLSTM
84            Evaluation-DenseNet121_BiLSTM  F1-Score-Vis     5  0.688525          DenseNet121-BiLSTM     DenseNet121       BiLSTM
85            Evaluation-DenseNet121_BiLSTM  F1-Score-Cap     1  0.822430          DenseNet121-BiLSTM     DenseNet121       BiLSTM
86            Evaluation-DenseNet121_BiLSTM  F1-Score-Cap     2  0.682353          DenseNet121-BiLSTM     DenseNet121       BiLSTM
87            Evaluation-DenseNet121_BiLSTM  F1-Score-Cap     3  0.787234          DenseNet121-BiLSTM     DenseNet121       BiLSTM
88            Evaluation-DenseNet121_BiLSTM  F1-Score-Cap     4  0.793388          DenseNet121-BiLSTM     DenseNet121       BiLSTM
89            Evaluation-DenseNet121_BiLSTM  F1-Score-Cap     5  0.770642          DenseNet121-BiLSTM     DenseNet121       BiLSTM
90            Evaluation-DenseNet121_BiLSTM  F1-Score-Hyd     1  0.831858          DenseNet121-BiLSTM     DenseNet121       BiLSTM
91            Evaluation-DenseNet121_BiLSTM  F1-Score-Hyd     2  0.750000          DenseNet121-BiLSTM     DenseNet121       BiLSTM
92            Evaluation-DenseNet121_BiLSTM  F1-Score-Hyd     3  0.792453          DenseNet121-BiLSTM     DenseNet121       BiLSTM
93            Evaluation-DenseNet121_BiLSTM  F1-Score-Hyd     4  0.859813          DenseNet121-BiLSTM     DenseNet121       BiLSTM
94            Evaluation-DenseNet121_BiLSTM  F1-Score-Hyd     5  0.803738          DenseNet121-BiLSTM     DenseNet121       BiLSTM
95            Evaluation-DenseNet121_BiLSTM  F1-Score-Pha     1  0.935780          DenseNet121-BiLSTM     DenseNet121       BiLSTM
96            Evaluation-DenseNet121_BiLSTM  F1-Score-Pha     2  0.854545          DenseNet121-BiLSTM     DenseNet121       BiLSTM
97            Evaluation-DenseNet121_BiLSTM  F1-Score-Pha     3  0.820000          DenseNet121-BiLSTM     DenseNet121       BiLSTM
98            Evaluation-DenseNet121_BiLSTM  F1-Score-Pha     4  0.787879          DenseNet121-BiLSTM     DenseNet121       BiLSTM
99            Evaluation-DenseNet121_BiLSTM  F1-Score-Pha     5  0.915888          DenseNet121-BiLSTM     DenseNet121       BiLSTM
100           Evaluation-DenseNet121_BiLSTM   F1-Score-IA     1  0.854701          DenseNet121-BiLSTM     DenseNet121       BiLSTM
101           Evaluation-DenseNet121_BiLSTM   F1-Score-IA     2  0.780952          DenseNet121-BiLSTM     DenseNet121       BiLSTM
102           Evaluation-DenseNet121_BiLSTM   F1-Score-IA     3  0.619048          DenseNet121-BiLSTM     DenseNet121       BiLSTM
103           Evaluation-DenseNet121_BiLSTM   F1-Score-IA     4  0.679245          DenseNet121-BiLSTM     DenseNet121       BiLSTM
104           Evaluation-DenseNet121_BiLSTM   F1-Score-IA     5  0.871795          DenseNet121-BiLSTM     DenseNet121       BiLSTM
105           Evaluation-DenseNet121_BiLSTM   F1-Score-CP     1  0.796610          DenseNet121-BiLSTM     DenseNet121       BiLSTM
106           Evaluation-DenseNet121_BiLSTM   F1-Score-CP     2  0.800000          DenseNet121-BiLSTM     DenseNet121       BiLSTM
107           Evaluation-DenseNet121_BiLSTM   F1-Score-CP     3  0.666667          DenseNet121-BiLSTM     DenseNet121       BiLSTM
108           Evaluation-DenseNet121_BiLSTM   F1-Score-CP     4  0.760331          DenseNet121-BiLSTM     DenseNet121       BiLSTM
109           Evaluation-DenseNet121_BiLSTM   F1-Score-CP     5  0.854545          DenseNet121-BiLSTM     DenseNet121       BiLSTM
110           Evaluation-DenseNet121_BiLSTM   F1-Score-LI     1  0.843137          DenseNet121-BiLSTM     DenseNet121       BiLSTM
111           Evaluation-DenseNet121_BiLSTM   F1-Score-LI     2  0.876190          DenseNet121-BiLSTM     DenseNet121       BiLSTM
112           Evaluation-DenseNet121_BiLSTM   F1-Score-LI     3  0.800000          DenseNet121-BiLSTM     DenseNet121       BiLSTM
113           Evaluation-DenseNet121_BiLSTM   F1-Score-LI     4  0.720000          DenseNet121-BiLSTM     DenseNet121       BiLSTM
114           Evaluation-DenseNet121_BiLSTM   F1-Score-LI     5  0.928571          DenseNet121-BiLSTM     DenseNet121       BiLSTM
115           Evaluation-DenseNet121_BiLSTM   F1-Score-LP     1  0.784314          DenseNet121-BiLSTM     DenseNet121       BiLSTM
116           Evaluation-DenseNet121_BiLSTM   F1-Score-LP     2  0.750000          DenseNet121-BiLSTM     DenseNet121       BiLSTM
117           Evaluation-DenseNet121_BiLSTM   F1-Score-LP     3  0.642857          DenseNet121-BiLSTM     DenseNet121       BiLSTM
118           Evaluation-DenseNet121_BiLSTM   F1-Score-LP     4  0.655172          DenseNet121-BiLSTM     DenseNet121       BiLSTM
119           Evaluation-DenseNet121_BiLSTM   F1-Score-LP     5  0.774775          DenseNet121-BiLSTM     DenseNet121       BiLSTM
120           Evaluation-DenseNet121_BiLSTM  F1-Score-ACF     1  0.730159          DenseNet121-BiLSTM     DenseNet121       BiLSTM
121           Evaluation-DenseNet121_BiLSTM  F1-Score-ACF     2  0.716981          DenseNet121-BiLSTM     DenseNet121       BiLSTM
122           Evaluation-DenseNet121_BiLSTM  F1-Score-ACF     3  0.495575          DenseNet121-BiLSTM     DenseNet121       BiLSTM
123           Evaluation-DenseNet121_BiLSTM  F1-Score-ACF     4  0.660550          DenseNet121-BiLSTM     DenseNet121       BiLSTM
124           Evaluation-DenseNet121_BiLSTM  F1-Score-ACF     5  0.773585          DenseNet121-BiLSTM     DenseNet121       BiLSTM
125           Evaluation-DenseNet121_BiLSTM   F1-Score-VS     1  0.897196          DenseNet121-BiLSTM     DenseNet121       BiLSTM
126           Evaluation-DenseNet121_BiLSTM   F1-Score-VS     2  0.808511          DenseNet121-BiLSTM     DenseNet121       BiLSTM
127           Evaluation-DenseNet121_BiLSTM   F1-Score-VS     3  0.800000          DenseNet121-BiLSTM     DenseNet121       BiLSTM
128           Evaluation-DenseNet121_BiLSTM   F1-Score-VS     4  0.849558          DenseNet121-BiLSTM     DenseNet121       BiLSTM
129           Evaluation-DenseNet121_BiLSTM   F1-Score-VS     5  0.905660          DenseNet121-BiLSTM     DenseNet121       BiLSTM
130           Evaluation-DenseNet121_BiLSTM   F1-Score-TA     1  0.722689          DenseNet121-BiLSTM     DenseNet121       BiLSTM
131           Evaluation-DenseNet121_BiLSTM   F1-Score-TA     2  0.741379          DenseNet121-BiLSTM     DenseNet121       BiLSTM
132           Evaluation-DenseNet121_BiLSTM   F1-Score-TA     3  0.721649          DenseNet121-BiLSTM     DenseNet121       BiLSTM
133           Evaluation-DenseNet121_BiLSTM   F1-Score-TA     4  0.721311          DenseNet121-BiLSTM     DenseNet121       BiLSTM
134           Evaluation-DenseNet121_BiLSTM   F1-Score-TA     5  0.839286          DenseNet121-BiLSTM     DenseNet121       BiLSTM
135           Evaluation-DenseNet121_BiLSTM      F1-Score     1  0.817994          DenseNet121-BiLSTM     DenseNet121       BiLSTM
136           Evaluation-DenseNet121_BiLSTM      F1-Score     2  0.765771          DenseNet121-BiLSTM     DenseNet121       BiLSTM
137           Evaluation-DenseNet121_BiLSTM      F1-Score     3  0.707611          DenseNet121-BiLSTM     DenseNet121       BiLSTM
138           Evaluation-DenseNet121_BiLSTM      F1-Score     4  0.726501          DenseNet121-BiLSTM     DenseNet121       BiLSTM
139           Evaluation-DenseNet121_BiLSTM      F1-Score     5  0.814194          DenseNet121-BiLSTM     DenseNet121       BiLSTM
140              Evaluation-DenseNet121_GRU  F1-Score-Idl     1  0.733945             DenseNet121-GRU     DenseNet121          GRU
141              Evaluation-DenseNet121_GRU  F1-Score-Idl     2  0.735849             DenseNet121-GRU     DenseNet121          GRU
142              Evaluation-DenseNet121_GRU  F1-Score-Idl     3  0.709677             DenseNet121-GRU     DenseNet121          GRU
143              Evaluation-DenseNet121_GRU  F1-Score-Idl     4  0.666667             DenseNet121-GRU     DenseNet121          GRU
144              Evaluation-DenseNet121_GRU  F1-Score-Idl     5  0.622642             DenseNet121-GRU     DenseNet121          GRU
145              Evaluation-DenseNet121_GRU  F1-Score-Inc     1  0.852174             DenseNet121-GRU     DenseNet121          GRU
146              Evaluation-DenseNet121_GRU  F1-Score-Inc     2  0.713043             DenseNet121-GRU     DenseNet121          GRU
147              Evaluation-DenseNet121_GRU  F1-Score-Inc     3  0.836364             DenseNet121-GRU     DenseNet121          GRU
148              Evaluation-DenseNet121_GRU  F1-Score-Inc     4  0.796296             DenseNet121-GRU     DenseNet121          GRU
149              Evaluation-DenseNet121_GRU  F1-Score-Inc     5  0.790698             DenseNet121-GRU     DenseNet121          GRU
150              Evaluation-DenseNet121_GRU  F1-Score-Vis     1  0.777778             DenseNet121-GRU     DenseNet121          GRU
151              Evaluation-DenseNet121_GRU  F1-Score-Vis     2  0.686275             DenseNet121-GRU     DenseNet121          GRU
152              Evaluation-DenseNet121_GRU  F1-Score-Vis     3  0.699029             DenseNet121-GRU     DenseNet121          GRU
153              Evaluation-DenseNet121_GRU  F1-Score-Vis     4  0.608696             DenseNet121-GRU     DenseNet121          GRU
154              Evaluation-DenseNet121_GRU  F1-Score-Vis     5  0.689655             DenseNet121-GRU     DenseNet121          GRU
155              Evaluation-DenseNet121_GRU  F1-Score-Cap     1  0.839286             DenseNet121-GRU     DenseNet121          GRU
156              Evaluation-DenseNet121_GRU  F1-Score-Cap     2  0.750000             DenseNet121-GRU     DenseNet121          GRU
157              Evaluation-DenseNet121_GRU  F1-Score-Cap     3  0.775510             DenseNet121-GRU     DenseNet121          GRU
158              Evaluation-DenseNet121_GRU  F1-Score-Cap     4  0.793103             DenseNet121-GRU     DenseNet121          GRU
159              Evaluation-DenseNet121_GRU  F1-Score-Cap     5  0.789474             DenseNet121-GRU     DenseNet121          GRU
160              Evaluation-DenseNet121_GRU  F1-Score-Hyd     1  0.793651             DenseNet121-GRU     DenseNet121          GRU
161              Evaluation-DenseNet121_GRU  F1-Score-Hyd     2  0.754717             DenseNet121-GRU     DenseNet121          GRU
162              Evaluation-DenseNet121_GRU  F1-Score-Hyd     3  0.860000             DenseNet121-GRU     DenseNet121          GRU
163              Evaluation-DenseNet121_GRU  F1-Score-Hyd     4  0.793103             DenseNet121-GRU     DenseNet121          GRU
164              Evaluation-DenseNet121_GRU  F1-Score-Hyd     5  0.635294             DenseNet121-GRU     DenseNet121          GRU
165              Evaluation-DenseNet121_GRU  F1-Score-Pha     1  0.895238             DenseNet121-GRU     DenseNet121          GRU
166              Evaluation-DenseNet121_GRU  F1-Score-Pha     2  0.909091             DenseNet121-GRU     DenseNet121          GRU
167              Evaluation-DenseNet121_GRU  F1-Score-Pha     3  0.849057             DenseNet121-GRU     DenseNet121          GRU
168              Evaluation-DenseNet121_GRU  F1-Score-Pha     4  0.862385             DenseNet121-GRU     DenseNet121          GRU
169              Evaluation-DenseNet121_GRU  F1-Score-Pha     5  0.882883             DenseNet121-GRU     DenseNet121          GRU
170              Evaluation-DenseNet121_GRU   F1-Score-IA     1  0.816000             DenseNet121-GRU     DenseNet121          GRU
171              Evaluation-DenseNet121_GRU   F1-Score-IA     2  0.834951             DenseNet121-GRU     DenseNet121          GRU
172              Evaluation-DenseNet121_GRU   F1-Score-IA     3  0.707071             DenseNet121-GRU     DenseNet121          GRU
173              Evaluation-DenseNet121_GRU   F1-Score-IA     4  0.725490             DenseNet121-GRU     DenseNet121          GRU
174              Evaluation-DenseNet121_GRU   F1-Score-IA     5  0.750000             DenseNet121-GRU     DenseNet121          GRU
175              Evaluation-DenseNet121_GRU   F1-Score-CP     1  0.772277             DenseNet121-GRU     DenseNet121          GRU
176              Evaluation-DenseNet121_GRU   F1-Score-CP     2  0.765217             DenseNet121-GRU     DenseNet121          GRU
177              Evaluation-DenseNet121_GRU   F1-Score-CP     3  0.683761             DenseNet121-GRU     DenseNet121          GRU
178              Evaluation-DenseNet121_GRU   F1-Score-CP     4  0.777778             DenseNet121-GRU     DenseNet121          GRU
179              Evaluation-DenseNet121_GRU   F1-Score-CP     5  0.779412             DenseNet121-GRU     DenseNet121          GRU
180              Evaluation-DenseNet121_GRU   F1-Score-LI     1  0.879310             DenseNet121-GRU     DenseNet121          GRU
181              Evaluation-DenseNet121_GRU   F1-Score-LI     2  0.843137             DenseNet121-GRU     DenseNet121          GRU
182              Evaluation-DenseNet121_GRU   F1-Score-LI     3  0.829787             DenseNet121-GRU     DenseNet121          GRU
183              Evaluation-DenseNet121_GRU   F1-Score-LI     4  0.730769             DenseNet121-GRU     DenseNet121          GRU
184              Evaluation-DenseNet121_GRU   F1-Score-LI     5  0.846154             DenseNet121-GRU     DenseNet121          GRU
185              Evaluation-DenseNet121_GRU   F1-Score-LP     1  0.769231             DenseNet121-GRU     DenseNet121          GRU
186              Evaluation-DenseNet121_GRU   F1-Score-LP     2  0.747826             DenseNet121-GRU     DenseNet121          GRU
187              Evaluation-DenseNet121_GRU   F1-Score-LP     3  0.740741             DenseNet121-GRU     DenseNet121          GRU
188              Evaluation-DenseNet121_GRU   F1-Score-LP     4  0.746032             DenseNet121-GRU     DenseNet121          GRU
189              Evaluation-DenseNet121_GRU   F1-Score-LP     5  0.800000             DenseNet121-GRU     DenseNet121          GRU
190              Evaluation-DenseNet121_GRU  F1-Score-ACF     1  0.720721             DenseNet121-GRU     DenseNet121          GRU
191              Evaluation-DenseNet121_GRU  F1-Score-ACF     2  0.666667             DenseNet121-GRU     DenseNet121          GRU
192              Evaluation-DenseNet121_GRU  F1-Score-ACF     3  0.633663             DenseNet121-GRU     DenseNet121          GRU
193              Evaluation-DenseNet121_GRU  F1-Score-ACF     4  0.590476             DenseNet121-GRU     DenseNet121          GRU
194              Evaluation-DenseNet121_GRU  F1-Score-ACF     5  0.673077             DenseNet121-GRU     DenseNet121          GRU
195              Evaluation-DenseNet121_GRU   F1-Score-VS     1  0.871287             DenseNet121-GRU     DenseNet121          GRU
196              Evaluation-DenseNet121_GRU   F1-Score-VS     2  0.808081             DenseNet121-GRU     DenseNet121          GRU
197              Evaluation-DenseNet121_GRU   F1-Score-VS     3  0.897959             DenseNet121-GRU     DenseNet121          GRU
198              Evaluation-DenseNet121_GRU   F1-Score-VS     4  0.854369             DenseNet121-GRU     DenseNet121          GRU
199              Evaluation-DenseNet121_GRU   F1-Score-VS     5  0.846154             DenseNet121-GRU     DenseNet121          GRU
200              Evaluation-DenseNet121_GRU   F1-Score-TA     1  0.699187             DenseNet121-GRU     DenseNet121          GRU
201              Evaluation-DenseNet121_GRU   F1-Score-TA     2  0.807692             DenseNet121-GRU     DenseNet121          GRU
202              Evaluation-DenseNet121_GRU   F1-Score-TA     3  0.848485             DenseNet121-GRU     DenseNet121          GRU
203              Evaluation-DenseNet121_GRU   F1-Score-TA     4  0.697248             DenseNet121-GRU     DenseNet121          GRU
204              Evaluation-DenseNet121_GRU   F1-Score-TA     5  0.660870             DenseNet121-GRU     DenseNet121          GRU
205              Evaluation-DenseNet121_GRU      F1-Score     1  0.801545             DenseNet121-GRU     DenseNet121          GRU
206              Evaluation-DenseNet121_GRU      F1-Score     2  0.770965             DenseNet121-GRU     DenseNet121          GRU
207              Evaluation-DenseNet121_GRU      F1-Score     3  0.774700             DenseNet121-GRU     DenseNet121          GRU
208              Evaluation-DenseNet121_GRU      F1-Score     4  0.741724             DenseNet121-GRU     DenseNet121          GRU
209              Evaluation-DenseNet121_GRU      F1-Score     5  0.751255             DenseNet121-GRU     DenseNet121          GRU
210             Evaluation-DenseNet121_LSTM  F1-Score-Idl     1  0.618182            DenseNet121-LSTM     DenseNet121         LSTM
211             Evaluation-DenseNet121_LSTM  F1-Score-Idl     2  0.629630            DenseNet121-LSTM     DenseNet121         LSTM
212             Evaluation-DenseNet121_LSTM  F1-Score-Idl     3  0.808081            DenseNet121-LSTM     DenseNet121         LSTM
213             Evaluation-DenseNet121_LSTM  F1-Score-Idl     4  0.579439            DenseNet121-LSTM     DenseNet121         LSTM
214             Evaluation-DenseNet121_LSTM  F1-Score-Idl     5  0.641509            DenseNet121-LSTM     DenseNet121         LSTM
215             Evaluation-DenseNet121_LSTM  F1-Score-Inc     1  0.837607            DenseNet121-LSTM     DenseNet121         LSTM
216             Evaluation-DenseNet121_LSTM  F1-Score-Inc     2  0.644068            DenseNet121-LSTM     DenseNet121         LSTM
217             Evaluation-DenseNet121_LSTM  F1-Score-Inc     3  0.905660            DenseNet121-LSTM     DenseNet121         LSTM
218             Evaluation-DenseNet121_LSTM  F1-Score-Inc     4  0.768000            DenseNet121-LSTM     DenseNet121         LSTM
219             Evaluation-DenseNet121_LSTM  F1-Score-Inc     5  0.748092            DenseNet121-LSTM     DenseNet121         LSTM
220             Evaluation-DenseNet121_LSTM  F1-Score-Vis     1  0.660550            DenseNet121-LSTM     DenseNet121         LSTM
221             Evaluation-DenseNet121_LSTM  F1-Score-Vis     2  0.618557            DenseNet121-LSTM     DenseNet121         LSTM
