                                 Experiment        Metric  File     Value                       Model             CNN          RNN
49            Evaluation-DenseNet121_BiLSTM  Accuracy-4th     5  0.015110          DenseNet121-BiLSTM     DenseNet121       BiLSTM
50            Evaluation-DenseNet121_BiLSTM  Accuracy-5th     1  0.008242          DenseNet121-BiLSTM     DenseNet121       BiLSTM
51            Evaluation-DenseNet121_BiLSTM  Accuracy-5th     2  0.011611          DenseNet121-BiLSTM     DenseNet121       BiLSTM
52            Evaluation-DenseNet121_BiLSTM  Accuracy-5th     3  0.013575          DenseNet121-BiLSTM     DenseNet121       BiLSTM
53            Evaluation-DenseNet121_BiLSTM  Accuracy-5th     4  0.008392          DenseNet121-BiLSTM     DenseNet121       BiLSTM
54            Evaluation-DenseNet121_BiLSTM  Accuracy-5th     5  0.006868          DenseNet121-BiLSTM     DenseNet121       BiLSTM
55            Evaluation-DenseNet121_BiLSTM      Accuracy     1  0.815934          DenseNet121-BiLSTM     DenseNet121       BiLSTM
56            Evaluation-DenseNet121_BiLSTM      Accuracy     2  0.766328          DenseNet121-BiLSTM     DenseNet121       BiLSTM
57            Evaluation-DenseNet121_BiLSTM      Accuracy     3  0.707391          DenseNet121-BiLSTM     DenseNet121       BiLSTM
58            Evaluation-DenseNet121_BiLSTM      Accuracy     4  0.730070          DenseNet121-BiLSTM     DenseNet121       BiLSTM
59            Evaluation-DenseNet121_BiLSTM      Accuracy     5  0.813187          DenseNet121-BiLSTM     DenseNet121       BiLSTM
60               Evaluation-DenseNet121_GRU  Accuracy-1st     1  0.800824             DenseNet121-GRU     DenseNet121          GRU
61               Evaluation-DenseNet121_GRU  Accuracy-1st     2  0.770682             DenseNet121-GRU     DenseNet121          GRU
62               Evaluation-DenseNet121_GRU  Accuracy-1st     3  0.773756             DenseNet121-GRU     DenseNet121          GRU
63               Evaluation-DenseNet121_GRU  Accuracy-1st     4  0.744056             DenseNet121-GRU     DenseNet121          GRU
64               Evaluation-DenseNet121_GRU  Accuracy-1st     5  0.754121             DenseNet121-GRU     DenseNet121          GRU
65               Evaluation-DenseNet121_GRU  Accuracy-2nd     1  0.125000             DenseNet121-GRU     DenseNet121          GRU
66               Evaluation-DenseNet121_GRU  Accuracy-2nd     2  0.146589             DenseNet121-GRU     DenseNet121          GRU
67               Evaluation-DenseNet121_GRU  Accuracy-2nd     3  0.146305             DenseNet121-GRU     DenseNet121          GRU
68               Evaluation-DenseNet121_GRU  Accuracy-2nd     4  0.151049             DenseNet121-GRU     DenseNet121          GRU
69               Evaluation-DenseNet121_GRU  Accuracy-2nd     5  0.123626             DenseNet121-GRU     DenseNet121          GRU
70               Evaluation-DenseNet121_GRU  Accuracy-3rd     1  0.039835             DenseNet121-GRU     DenseNet121          GRU
71               Evaluation-DenseNet121_GRU  Accuracy-3rd     2  0.033382             DenseNet121-GRU     DenseNet121          GRU
72               Evaluation-DenseNet121_GRU  Accuracy-3rd     3  0.042232             DenseNet121-GRU     DenseNet121          GRU
73               Evaluation-DenseNet121_GRU  Accuracy-3rd     4  0.051748             DenseNet121-GRU     DenseNet121          GRU
74               Evaluation-DenseNet121_GRU  Accuracy-3rd     5  0.079670             DenseNet121-GRU     DenseNet121          GRU
75               Evaluation-DenseNet121_GRU  Accuracy-4th     1  0.017857             DenseNet121-GRU     DenseNet121          GRU
