                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
44            Evaluation-ResNet152_LSTM-finetuned   F1-Score-LI     5  0.626087           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
45            Evaluation-ResNet152_LSTM-finetuned   F1-Score-LP     1  0.315789           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
46            Evaluation-ResNet152_LSTM-finetuned   F1-Score-LP     2  0.477419           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
47            Evaluation-ResNet152_LSTM-finetuned   F1-Score-LP     3  0.478873           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
48            Evaluation-ResNet152_LSTM-finetuned   F1-Score-LP     4  0.434783           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
49            Evaluation-ResNet152_LSTM-finetuned   F1-Score-LP     5  0.348837           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
50            Evaluation-ResNet152_LSTM-finetuned  F1-Score-ACF     1  0.418919           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
51            Evaluation-ResNet152_LSTM-finetuned  F1-Score-ACF     2  0.256410           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
52            Evaluation-ResNet152_LSTM-finetuned  F1-Score-ACF     3  0.400000           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
53            Evaluation-ResNet152_LSTM-finetuned  F1-Score-ACF     4  0.371134           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
54            Evaluation-ResNet152_LSTM-finetuned  F1-Score-ACF     5  0.361905           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
55            Evaluation-ResNet152_LSTM-finetuned   F1-Score-VS     1  0.740000           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
56            Evaluation-ResNet152_LSTM-finetuned   F1-Score-VS     2  0.660000           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
57            Evaluation-ResNet152_LSTM-finetuned   F1-Score-VS     3  0.747475           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
58            Evaluation-ResNet152_LSTM-finetuned   F1-Score-VS     4  0.659341           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
59            Evaluation-ResNet152_LSTM-finetuned   F1-Score-VS     5  0.632653           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
60            Evaluation-ResNet152_LSTM-finetuned   F1-Score-TA     1  0.326087           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
61            Evaluation-ResNet152_LSTM-finetuned   F1-Score-TA     2  0.517857           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
62            Evaluation-ResNet152_LSTM-finetuned   F1-Score-TA     3  0.481203           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
63            Evaluation-ResNet152_LSTM-finetuned   F1-Score-TA     4  0.301075           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
64            Evaluation-ResNet152_LSTM-finetuned   F1-Score-TA     5  0.326923           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
65            Evaluation-ResNet152_LSTM-finetuned      F1-Score     1  0.538071           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
66            Evaluation-ResNet152_LSTM-finetuned      F1-Score     2  0.586435           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
67            Evaluation-ResNet152_LSTM-finetuned      F1-Score     3  0.567348           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
68            Evaluation-ResNet152_LSTM-finetuned      F1-Score     4  0.475423           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
69            Evaluation-ResNet152_LSTM-finetuned      F1-Score     5  0.510841           ResNet152-LSTM-finetuned  ResNet152         LSTM       True       1
70          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Idl     1  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
71          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Idl     2  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
72          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Idl     3  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
73          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Idl     4  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
74          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Idl     5  0.066667         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
75          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Inc     1  0.389140         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
76          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Inc     2  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
77          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Inc     3  0.326087         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
78          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Inc     4  0.376812         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
79          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Inc     5  0.320000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
80          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Vis     1  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
